Title,Link,Location,Price,Information,Image,Brand
Honda Civic,https://www.olx.in/item/cars-c84-used-honda-civic-in-rajouri-garden-delhi-iid-1818083318,Rajouri GardenToday,"₹ 12,75,000","2019 - 23,000 km",https://apollo.olx.in:443/v1/files/yy1rqjubf0601-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai i10,https://www.olx.in/item/cars-c84-used-hyundai-i10-in-thalore-nenmenikkara-iid-1811498773,ThaloreYesterday,"₹ 3,99,000","2017 - 63,000 km",https://apollo.olx.in:443/v1/files/pbodazm7j2mm1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-jogeshwarivikhroli-link-road-jvlr-mumbai-iid-1817197293,Jogeshwari–Vikhroli Link Road (JVLR)18 Aug,"₹ 5,35,000","2016 - 39,000 km",https://apollo.olx.in:443/v1/files/gk9f6qvnp1122-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-kamaraj-nagar-tuticorin-iid-1817118836,Kamaraj Nagar17 Aug,"₹ 6,57,000","2017 - 109,000 km",https://apollo.olx.in:443/v1/files/e07gptlzn3om3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Volkswagen Polo,https://www.olx.in/item/cars-c84-used-volkswagen-polo-in-ponkunnam-kottayam-iid-1818083198,PonkunnamToday,"₹ 4,70,000","2015 - 136,000 km",https://apollo.olx.in:443/v1/files/41dc36dajnk82-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Nissan PATROL,https://www.olx.in/item/cars-c84-used-nissan-patrol-in-laxmi-narayan-puri-jaipur-iid-1818083108,Laxmi Narayan PuriToday,"₹ 2,75,000",2018 - 22 km,https://apollo.olx.in:443/v1/files/4hkzy3crljc32-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Mahindra Scorpio-N,https://www.olx.in/item/cars-c84-used-mahindra-scorpio-n-in-sector-62-mohali-iid-1817220497,Sector 62Today,"₹ 16,90,000","2023 - 45,000 km",https://apollo.olx.in:443/v1/files/rkowij9awmy23-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Baleno,https://www.olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-howrah-ac-market-howrah-iid-1816808414,Howrah AC MarketToday,"₹ 6,29,000","2022 - 23,000 km",https://apollo.olx.in:443/v1/files/g7zj7cbpz9ss2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Brezza,https://www.olx.in/item/cars-c84-used-maruti-suzuki-brezza-in-indira-nagar-disa-iid-1818083278,Indira NagarToday,"₹ 5,91,111","2016 - 81,337 km",https://apollo.olx.in:443/v1/files/w4sx0fdnv4fq2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki Ignis,https://www.olx.in/item/cars-c84-used-maruti-suzuki-ignis-in-civil-line-yamunanagar-iid-1818083277,Civil LineToday,"₹ 6,10,000","2025 - 2,000 km",https://apollo.olx.in:443/v1/files/uxvvqg7p8peq1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Maruti Suzuki 800,https://www.olx.in/item/cars-c84-used-maruti-suzuki-800-in-w-colangara-paravur-iid-1818083269,W ColangaraToday,"₹ 72,000","2007 - 68,000 km",https://apollo.olx.in:443/v1/files/1om8gzxh94sk2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-mali-panchghara-howrah-iid-1816882379,Mali PanchgharaToday,"₹ 1,75,000","2012 - 39,000 km",https://apollo.olx.in:443/v1/files/8g9e9rokw0lu3-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-howrah-ac-market-howrah-iid-1816882522,Howrah AC MarketToday,"₹ 1,75,000","2012 - 39,000 km",https://apollo.olx.in:443/v1/files/v4yzetm3r3ji2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki
