,Title,Link,Location,Price,Image,Brand,Year,Distance Covered
20,Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-jogeshwarivikhroli-link-road-jvlr-mumbai-iid-1817197293,Jogeshwari–Vikhroli Link Road (JVLR),535000,https://apollo.olx.in:443/v1/files/gk9f6qvnp1122-IN/image;s=150x0;q=50;f=webp;,hyundai,2016,39000.0
21,Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-kamaraj-nagar-tuticorin-iid-1817118836,Kamaraj Nagar,657000,https://apollo.olx.in:443/v1/files/e07gptlzn3om3-IN/image;s=150x0;q=50;f=webp;,tata,2017,109000.0
22,Volkswagen Polo,https://www.olx.in/item/cars-c84-used-volkswagen-polo-in-ponkunnam-kottayam-iid-1818083198,Ponkunnam,470000,https://apollo.olx.in:443/v1/files/41dc36dajnk82-IN/image;s=150x0;q=50;f=webp;,volkswagen,2015,136000.0
23,Nissan PATROL,https://www.olx.in/item/cars-c84-used-nissan-patrol-in-laxmi-narayan-puri-jaipur-iid-1818083108,Laxmi Narayan Puri,275000,https://apollo.olx.in:443/v1/files/4hkzy3crljc32-IN/image;s=150x0;q=50;f=webp;,nissan,2018,22.0
24,Mahindra Scorpio-N,https://www.olx.in/item/cars-c84-used-mahindra-scorpio-n-in-sector-62-mohali-iid-1817220497,Sector 62,1690000,https://apollo.olx.in:443/v1/files/rkowij9awmy23-IN/image;s=150x0;q=50;f=webp;,mahindra,2023,45000.0
25,Maruti Suzuki Baleno,https://www.olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-howrah-ac-market-howrah-iid-1816808414,Howrah AC Market,629000,https://apollo.olx.in:443/v1/files/g7zj7cbpz9ss2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki,2022,23000.0
26,Maruti Suzuki Brezza,https://www.olx.in/item/cars-c84-used-maruti-suzuki-brezza-in-indira-nagar-disa-iid-1818083278,Indira Nagar,591111,https://apollo.olx.in:443/v1/files/w4sx0fdnv4fq2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki,2016,81337.0
27,Maruti Suzuki Ignis,https://www.olx.in/item/cars-c84-used-maruti-suzuki-ignis-in-civil-line-yamunanagar-iid-1818083277,Civil Line,610000,https://apollo.olx.in:443/v1/files/uxvvqg7p8peq1-IN/image;s=150x0;q=50;f=webp;,maruti suzuki,2025,2000.0
28,Maruti Suzuki 800,https://www.olx.in/item/cars-c84-used-maruti-suzuki-800-in-w-colangara-paravur-iid-1818083269,W Colangara,72000,https://apollo.olx.in:443/v1/files/1om8gzxh94sk2-IN/image;s=150x0;q=50;f=webp;,maruti suzuki,2007,68000.0
29,Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-mali-panchghara-howrah-iid-1816882379,Mali Panchghara,175000,https://apollo.olx.in:443/v1/files/8g9e9rokw0lu3-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,39000.0
30,Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-howrah-ac-market-howrah-iid-1816882522,Howrah AC Market,175000,https://apollo.olx.in:443/v1/files/v4yzetm3r3ji2-IN/image;s=150x0;q=50;f=webp;,hyundai,2012,39000.0
