Title,Link,Location,Price,Information,Image,Brand
Hyundai Venue,https://www.olx.in/item/cars-c84-used-hyundai-venue-in-andheri-east-mumbai-iid-1817434207,Andheri EastToday,"₹ 8,99,000","2020 - 69,000 km",https://apollo.olx.in:443/v1/files/86ezzmznz8ix1-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-connaught-place-delhi-iid-1815454635,Connaught PlaceToday,"₹ 7,25,000","2017 - 65,000 km",https://apollo.olx.in:443/v1/files/jdb63hugoavf2-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-rajkot-municipal-society-rajkot-iid-1809486372,Rajkot Municipal SocietyToday,"₹ 9,75,100","2019 - 77,500 km",https://apollo.olx.in:443/v1/files/87max5goxukc3-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Eon,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-kolkata-gpo-kolkata-iid-1804920925,Kolkata GPOToday,"₹ 2,85,000","2018 - 41,000 km",https://apollo.olx.in:443/v1/files/5w8vmokxzj0c1-ADVIN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Venue,https://www.olx.in/item/cars-c84-used-hyundai-venue-in-marol-mumbai-iid-1804434871,MarolToday,"₹ 7,99,000","2021 - 44,000 km",https://apollo.olx.in:443/v1/files/6gxsghg1tmcg1-ADVIN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Santro,https://www.olx.in/item/cars-c84-used-hyundai-santro-in-jhandewalan-delhi-iid-1766559540,JhandewalanToday,"₹ 1,50,000","2012 - 81,000 km",https://apollo.olx.in:443/v1/files/rbxmm2z1cht91-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Santro Xing,https://www.olx.in/item/cars-c84-used-hyundai-santro-xing-in-rajiv-gandhi-nagar-tiruchirappalli-iid-1813824409,Rajiv Gandhi NagarToday,"₹ 79,000","2004 - 92,000 km",https://apollo.olx.in:443/v1/files/afn6v2c7kno82-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-lajpat-nagar-2-delhi-iid-1813823860,Lajpat Nagar 2Today,"₹ 9,25,000","2019 - 85,000 km",https://apollo.olx.in:443/v1/files/ngcru6i0h8362-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Santro,https://www.olx.in/item/cars-c84-used-hyundai-santro-in-karanjade-navi-mumbai-iid-1817542734,KaranjadeToday,"₹ 1,45,000","2009 - 24,000 km",https://apollo.olx.in:443/v1/files/r20t6dggjzds2-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai i10,https://www.olx.in/item/cars-c84-used-hyundai-i10-in-ittangur-bengaluru-iid-1817844215,Ittangur2 days ago,"₹ 2,75,000","2009 - 60,000 km",https://apollo.olx.in:443/v1/files/kkq98wuxlxn3-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Creta N Line,https://www.olx.in/item/cars-c84-used-hyundai-creta-n-line-in-navrangpura-ahmedabad-iid-1817000712,Navrangpura16 Aug,"₹ 19,50,000","2024 - 10,000 km",https://apollo.olx.in:443/v1/files/ahw2py9jkbmg1-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Venue,https://www.olx.in/item/cars-c84-used-hyundai-venue-in-vashi-navi-mumbai-iid-1811950029,Vashi2 Aug,"₹ 12,50,000","2022 - 25,000 km",https://apollo.olx.in:443/v1/files/mb63hf41e9tt2-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-sector-41b-chandigarh-iid-1816180747,Sector 41BToday,"₹ 10,75,000","2021 - 71,000 km",https://apollo.olx.in:443/v1/files/1fggjdg9575h2-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai New Santro,https://www.olx.in/item/cars-c84-used-hyundai-new-santro-in-thodupuzha-idukki-township-iid-1812169034,ThodupuzhaToday,"₹ 3,85,000","2020 - 19,800 km",https://apollo.olx.in:443/v1/files/7qru8m9m5m863-IN/image;s=150x0;q=50;f=webp;,hyundai
Hyundai Grand i10 Nios,https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-nios-in-durgapuri-delhi-iid-1810524050,DurgapuriToday,"₹ 5,40,000","2020 - 55,000 km",https://apollo.olx.in:443/v1/files/i186c83zgdbo3-IN/image;s=150x0;q=50;f=webp;,hyundai
